Fe	8300.00	0.00349	0.528
MgSiO3	4100.00	0.00161	0.541
MgFeSiO3	4260.00	0.00127	0.549
H2O	1460.00	0.00311	0.513
Cgraphite	2250.00	0.00350	0.514
SiC	3220.00	0.00172	0.537
